"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31015","should add a new provider group","chromium","Thu Jul 17 18:13:46 IST 2025","broken","Thu Jul 17 18:14:17 IST 2025","","addProviderGroup.spec.js","",""
"","2948","smoke","chromium","Thu Jul 17 18:14:19 IST 2025","passed","Thu Jul 17 18:14:22 IST 2025","","smoke.spec.js","",""
